shuffle_ds,balance_ds,split_prcnts,,,net_cnn_name,freeze_layers,numHiddenUnits,drop_prob,MaxEpochs,miniBatchSize,InitialLearnRate,L2Regularization,LearnRateDropFactor,ValidationPatiences,acc,uar,F1,sensitivity,PPV,specificity,loss_train_best,loss_val_best,loss_train_end,loss_val_end
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,8,0.0001,0.0003,0.9,10,59.9,59.9,60.1,60.3,59.9,59.6,0.674470389,0.67674762,0.001671807,2.334517956
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.03,20,8,0.003,0.001,0.99,10,50,50,66.7,100,50,0,0.74396086,0.693155885,0.763596813,0.710119605
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.03,20,8,0.01,0.01,0.7,10,45.9,45.9,52.7,60.3,46.8,31.5,0.710234736,0.688946187,0.696400321,0.690269351
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,8,0.003,0.01,0.7,10,50,50,0,0,NaN,100,0.693165947,0.693146706,0.693151949,0.693147302
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.1,20,4,0.001,0.01,0.99,10,53.1,53.1,60.3,71.2,52.3,34.9,0.69359634,0.69314754,0.693632988,0.693152189
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.3,20,8,0.01,0.001,0.99,10,50,50,0,0,NaN,100,1.775884563,0.703473806,1.746107687,0.773000956
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,8,0.01,0.003,0.7,10,46.6,46.6,54.1,63,47.4,30.1,0.699893613,0.691614568,0.704885791,0.692098737
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.01,20,4,0.01,0.0001,0.99,10,50,50,66.7,100,50,0,0.958493693,0.743890047,1.055755579,1.027987003
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,4,0.01,0.001,0.9,10,51.7,51.7,66.7,96.6,50.9,6.8,0.82201195,0.693538129,0.755084389,0.803811014
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.3,20,4,0.01,0.01,0.99,10,51,51,55.7,61.6,50.8,40.4,1.085317967,0.695525765,0.844357952,0.793696642
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.01,20,4,0.003,0.0003,0.7,10,50,50,66.7,100,50,0,0.696000495,0.69314754,0.6920636,0.693149149
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,4,0.0001,0.001,0.99,10,55.8,55.8,60.3,67.1,54.7,44.5,0.661440995,0.691053331,0.47522804,0.851224661
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,8,0.0003,0.0003,0.99,10,62.3,62.3,62.3,62.3,62.3,62.3,0.690711902,0.683134377,0.693920921,0.693164885
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,4,0.01,0.001,0.99,10,50,50,0,0,NaN,100,0.944203581,0.693378627,1.245405997,0.733553529
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.01,20,8,0.001,0.003,0.9,10,50.3,50.3,55.1,61,50.3,39.7,0.710063941,0.692630589,0.69381685,0.693151593
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.03,20,4,0.003,0.0001,0.7,10,54.5,54.5,59.1,65.8,53.6,43.2,0.692624855,0.692066848,0.692624855,0.692066848
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.03,20,8,0.001,0.0003,0.99,10,54.5,54.5,57.2,61,53.9,47.9,0.712520293,0.687044144,0.702178731,0.693344414
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.3,20,4,0.01,0.003,0.9,10,49.3,49.3,66.1,98.6,49.7,0,1.030901892,0.693487048,0.826342561,0.864137232
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.01,20,8,0.001,0.01,0.99,10,50.3,50.3,66.2,97.3,50.2,3.4,0.694778162,0.693147302,0.693284766,0.693147302
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.3,20,4,0.0003,0.001,0.99,10,54.8,54.8,57.1,60.3,54.3,49.3,0.698579762,0.69195503,0.693863448,0.69326508
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.01,20,8,0.0001,0.0003,0.9,10,58.9,58.9,59.5,60.3,58.7,57.5,0.659062119,0.669940829,0.001989679,2.481691122
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.1,20,4,0.003,0.01,0.9,10,53.1,53.1,56.5,61,52.7,45.2,0.719673957,0.691586792,0.708668927,0.692683518
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.01,20,4,0.01,0.0003,0.7,10,50,50,0,0,NaN,100,0.69714641,0.693147302,0.69714641,0.693147302
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.03,20,8,0.01,0.0003,0.7,10,50,50,0,0,NaN,100,0.697975605,0.693155229,0.697975605,0.693155229
