shuffle_ds,,,split_prcnts,net_cnn_name,freeze_layers,win_len,overlap_win,overlap_spectrograms,spectrum_type,win_norm,filter_bank_norm,miniBatchSize,InitialLearnRate,L2Regularization,LearnRateDropFactor,ValidationPatience,acc,uar,F1,sensitivity,PPV,specificity,loss_train,loss_val
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.75,power,1,none,32,0.003,0.003,0.7,5,64.704,66.416,57.98,71.74,48.96,61.1,0.684713053086169,0.678164434432983
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.75,power,1,none,32,0.0001,0.003,0.99,5,58.43,61.9,54.05,72.44,43.28,51.38,0.696733423908318,0.673341977596283
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.9,magnitude,0,none,64,0.003,0.0001,0.7,5,52.08,55.084,41.016,64.14,NaN,46.02,0.719276718777605,0.69775310754776
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.9,magnitude,0,none,64,0.01,0.0003,0.99,5,35.264,49.164,48.256,91.06,32.88,7.28,0.793125737958148,0.69270167350769
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.75,power,1,none,32,0.0003,0.003,0.7,5,60.46,64.138,55.946,75.2,44.84,53.12,0.68370505654724,0.683511579036713
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.9,magnitude,1,none,32,0.001,0.003,0.7,5,63.976,67.1,58.806,76.54,47.9,57.64,0.621104211049243,0.646678304672241
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.9,power,1,none,32,0.001,0.003,0.7,5,67.052,68.032,59.584,71.04,51.82,65.04,0.611629292894472,0.679544353485107
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.8,power,1,none,32,0.0003,0.0003,0.99,5,66.568,67.044,58.042,68.48,50.6,65.6,0.677110521344946,0.668559336662293
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.8,magnitude,1,none,64,0.003,0.001,0.99,5,38.182,49.192,47.218,82.76,33.16,15.62,0.695655947383082,0.687672710418701
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.75,power,1,none,64,0.01,0.01,0.99,5,53.65,57.268,50.274,68.28,40.28,46.26,0.834304379908196,0.665421271324158
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.8,magnitude,0,none,32,0.003,0.001,0.7,5,69.802,70.798,61.992,73.82,53.54,67.82,0.638141399216168,0.616533875465393
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.85,power,0,none,64,0.0001,0.01,0.99,5,68.214,69.956,61.214,75.18,51.8,64.74,0.69977285861969,0.726229727268219
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.9,power,0,none,32,0.0001,0.001,0.9,5,70.202,71.6,63.008,75.88,53.96,67.36,0.742543995380402,0.710537326335907
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.75,power,1,none,64,0.0001,0.003,0.7,5,64.676,65.23,56.104,66.92,48.5,63.56,0.719081020041516,0.711016619205475
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.75,magnitude,1,none,32,0.003,0.001,0.9,5,61.454,63.15,54.45,68.3,45.54,58.04,0.651585113225634,0.664641177654266
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.85,power,0,none,16,0.0001,0.0003,0.9,5,72.51,73.178,64.72,75.2,57.38,71.2,0.711301064491272,0.7205042719841
